type,tags,title,weight,detail,item#
bug,AFE,Fixed issue where the AFE Status Widget (on the dashboard) would show incorrect results for Revised or Supplemented AFEs.,,,61091
bug,workflow,Resolved issues where slashes in text sections within a Task would cause an error.,,,147716
enhancement,,New color-scheme with Quorum branding.,,theme,127725
enhancement,security,Many 3rd party components updated to latest versions.,,components,
enhancement,"admin,workflow",Added support for Workflow Tasks to the User Reassign Wizard.,,,
enhancement,admin,Added support for Project Activity Owners to the User Reassign Wizard.,,,
enhancement,"admin, AFE",New custom business rules to allow an administrator to configure when Revisions and Supplements may be made.,,,
enhancement,capital,Improved reporting on Capital Project snapshots.,,,
enhancement,capital,New tool to simplify bulk updating Capital Project forecasts.,,bulk_forecast,
enhancement,capital,"Button added on Capital tab, and reforecasting screen, to quickly update capital summary to match monthly capital.",,,54370
enhancement,opsched,Added the ability to have additional information show in the activity pop-up on the schedule,,,98342
enhancement,"AFE,accruals","Administrators (with ""AFE Owner Actions"") can now delegate Field Cost entry on behalf of another user.",,,135784
enhancement,AFE,"Added a new ""EstimateForAccountGroup"" formula function to the formula editor to allow users to pull out specifics parts of an AFE estimate.",,estimate_group,136343
enhancement,"AFE,accruals",The Field Cost Entry and Field Cost Cutoff Date settings are now editable by an Accruals Admin.,,,144621
enhancement,"usability,workflow",The Browse screen now color codes more status fields (i.e. task statuses).,,,147722
feature,"integration, saas",Improved integration between hosted Aucerna Execute environments and on-prem systems.,100,agent,
feature,"integration, AFE",Support for integration with hosted Peloton (SaaS / Allez).,,peloton,
feature,usability,Grid overhaul throughout the system.  More Excel-like.,,excel,
feature,"integration, saas",Support for Single-signon and MFA for Quorum hosted Aucerna Execute environments through Okta.,,okta,
feature,"integration, AFE",Integration with Quorum's WellEz.,90,wellez,
feature,opsched,New tool to simplify changing schedule view configurations.,,schedule_views,
feature,AFE,New workflow to simplify releasing funds from an AFE.,,release_funds,136463
note,,"Aucerna Execute 2021 is now known as ""Aucerna Execute 21"".",,,
note,AFE,Removed functionality for now-defunct AFE Link.,,afelink,
note,,To help guide future development we've implemented usage telemetry using Pendo.,,pendo,
